"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 09:18:49.268Z","192.168.186.128",tcp,"192.168.186.93",60759,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.268Z","192.168.186.128",tcp,"192.168.186.93",60760,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.268Z","192.168.186.128",tcp,"192.168.186.93",60758,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.265Z","192.168.186.128",tcp,"192.168.186.93",60757,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.264Z","192.168.186.128",tcp,"192.168.186.93",60756,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.263Z","192.168.186.128",tcp,"192.168.186.93",60754,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.263Z","192.168.186.128",tcp,"192.168.186.93",60755,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.261Z","192.168.186.128",tcp,"192.168.186.93",60753,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.260Z","192.168.186.128",tcp,"192.168.186.93",60752,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.257Z","192.168.186.128",tcp,"192.168.186.93",60751,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.256Z","192.168.186.128",tcp,"192.168.186.93",60750,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.256Z","192.168.186.128",tcp,"192.168.186.93",60749,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.255Z","192.168.186.128",tcp,"192.168.186.93",60748,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.253Z","192.168.186.128",tcp,"192.168.186.93",60747,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.252Z","192.168.186.128",tcp,"192.168.186.93",60746,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.251Z","192.168.186.128",tcp,"192.168.186.93",60745,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.251Z","192.168.186.128",tcp,"192.168.186.93",60744,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.249Z","192.168.186.128",tcp,"192.168.186.93",60743,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.248Z","192.168.186.128",tcp,"192.168.186.93",60742,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.246Z","192.168.186.128",tcp,"192.168.186.93",60741,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.246Z","192.168.186.128",tcp,"192.168.186.93",60740,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.245Z","192.168.186.128",tcp,"192.168.186.93",60739,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.244Z","192.168.186.128",tcp,"192.168.186.93",60738,"192.168.186.129",80,40,1
