"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 08:55:07.364Z","192.168.186.128",tcp,"192.168.186.131",39396,"192.168.186.129",22,240,4
"2022-04-13 08:55:07.339Z","192.168.186.128",tcp,"192.168.186.131",39395,"192.168.186.129",22,240,4
"2022-04-13 08:55:07.313Z","192.168.186.128",tcp,"192.168.186.131",39393,"192.168.186.129",22,52,1
"2022-04-13 08:55:07.287Z","192.168.186.128",udp,"192.168.186.131",39523,"192.168.186.129",43034,328,1
"2022-04-13 08:55:07.262Z","192.168.186.128",icmp,"192.168.186.131",0,"192.168.186.129","-",178,1
"2022-04-13 08:55:07.236Z","192.168.186.128",icmp,"192.168.186.131",0,"192.168.186.129","-",148,1
"2022-04-13 08:55:07.211Z","192.168.186.128",tcp,"192.168.186.131",39386,"192.168.186.129",22,56,1
"2022-04-13 08:55:07.111Z","192.168.186.128",tcp,"192.168.186.131",39385,"192.168.186.129",22,60,1
"2022-04-13 08:55:07.010Z","192.168.186.128",tcp,"192.168.186.131",39384,"192.168.186.129",22,56,1
"2022-04-13 08:55:06.909Z","192.168.186.128",tcp,"192.168.186.131",39383,"192.168.186.129",22,60,1
"2022-04-13 08:55:06.808Z","192.168.186.128",tcp,"192.168.186.131",39382,"192.168.186.129",22,60,1
"2022-04-13 08:55:06.707Z","192.168.186.128",tcp,"192.168.186.131",39381,"192.168.186.129",22,60,1
"2022-04-13 08:55:06.592Z","192.168.186.128",tcp,"192.168.186.131",51666,"192.168.186.129",25,338,6
"2022-04-13 08:55:01.585Z","192.168.186.128",tcp,"192.168.186.131",51664,"192.168.186.129",25,272,5
"2022-04-13 08:55:01.582Z","192.168.186.128",tcp,"192.168.186.131",51662,"192.168.186.129",25,274,5
"2022-04-13 08:55:01.565Z","192.168.186.128",tcp,"192.168.186.131",51658,"192.168.186.129",25,162,3
"2022-04-13 08:54:55.440Z","192.168.186.128",tcp,"192.168.186.131",53591,"192.168.186.129",19780,44,1
